[0156] ERROR discovered vulnerabilities at or above the severity threshold
NAME                           INSTALLED         FIXED IN          TYPE          VULNERABILITY        SEVERITY  EPSS           RISK
commons-text                   1.6               1.10.0            java-archive  GHSA-599f-7c49-w659  Critical  99.9% (99th)   93.9
tika-core                      1.27              3.2.2             java-archive  GHSA-f58c-gq56-vjjf  Critical  78.8% (99th)   74.8
tika-parsers                   1.27              2.0.0             java-archive  GHSA-f58c-gq56-vjjf  Critical  78.8% (99th)   74.8
solr-core                      8.11.2            8.11.3            java-archive  GHSA-37vr-vmg4-jwpw  High      83.8% (99th)   68.3
http2-common                   9.4.44.v20210927  9.4.53            java-archive  GHSA-qppj-fm5r-hxr3  Medium    100.0% (99th)  58.3   (kev)
http2-server                   9.4.44.v20210927  9.4.53            java-archive  GHSA-qppj-fm5r-hxr3  Medium    100.0% (99th)  58.3   (kev)
jackson-databind               2.4.0             2.7.9.2           java-archive  GHSA-rfx6-vp9g-rh7v  Critical  49.7% (98th)   46.7
jackson-databind               2.4.0             2.6.7.1           java-archive  GHSA-qxxx-2pp7-5hmx  Critical  37.7% (98th)   35.5
spring-web                     5.3.39            6.0.0             java-archive  GHSA-4wrc-f8pq-fpqp  Critical  32.3% (98th)   30.3
solr-core                      8.11.2            9.8.0             java-archive  GHSA-4p5m-gvpf-f3x5  Medium    47.2% (98th)   27.4
jackson-databind               2.4.0             2.6.7.4           java-archive  GHSA-4w82-r329-3q67  Critical  26.6% (97th)   25.0
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-mph4-vhrx-mv67  Medium    45.2% (98th)   24.6
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-cggj-fvv3-cqwv  Critical  20.1% (97th)   18.9
jackson-databind               2.4.0             2.7.9.7           java-archive  GHSA-p43x-xfjf-5jhr  Critical  18.3% (96th)   17.2
jackson-databind               2.4.0             2.7.9.7           java-archive  GHSA-q93h-jc49-78gg  Critical  17.8% (96th)   16.7
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-5ww9-j83m-q7qx  High      21.9% (97th)   16.5
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-9gph-22xh-8x98  High      20.9% (97th)   16.3
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-645p-88qh-w398  Critical  12.7% (95th)   11.9
woodstox-core                  6.2.4             6.4.0             java-archive  GHSA-3f7h-mf4q-vrm4  Medium    19.7% (97th)   11.3
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-h822-r4r5-v8jg  Critical  10.8% (95th)   10.1
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-c8hm-7hpq-7jhg  Critical  10.6% (95th)   10.0
jackson-databind               2.4.0             2.9.10.8          java-archive  GHSA-5r5r-6hpj-8gg9  High      12.5% (95th)   9.8
gson                           2.7               2.8.9             java-archive  GHSA-4jrv-ppp4-jm57  High      12.2% (95th)   9.3
jackson-databind               2.4.0             2.7.9.5           java-archive  GHSA-4gq5-ch57-c2mg  Critical  9.7% (95th)    9.1
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-f9xh-2qgp-cq57  High      10.9% (95th)   8.5
tika-parsers                   1.27              2.0.0-ALPHA       java-archive  GHSA-p72g-pv48-7w9x  Critical  9.1% (94th)    8.4
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-gwp4-hfv6-p7hw  High      10.8% (95th)   8.1
jackson-databind               2.4.0             2.6.7.4           java-archive  GHSA-gww7-p5w4-wrfv  Critical  8.6% (94th)    8.1
jackson-databind               2.4.0             2.9.10.8          java-archive  GHSA-m6x4-97wx-4q27  High      10.4% (95th)   8.1
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-h592-38cm-4ggp  Critical  8.4% (94th)    7.9
jackson-databind               2.4.0             2.7.9.6           java-archive  GHSA-6fpp-rgj9-8rwc  Critical  8.1% (94th)    7.6
jackson-databind               2.4.0             2.9.10.8          java-archive  GHSA-r3gr-cxrf-hg25  High      9.5% (94th)    7.4
jackson-databind               2.4.0             2.9.10.6          java-archive  GHSA-h3cw-g4mq-c5x2  High      9.4% (94th)    7.3
jackson-databind               2.4.0             2.6.7.4           java-archive  GHSA-fqwf-pjwf-7vqv  High      8.0% (94th)    6.5
ant                            1.8.2             1.10.9            java-archive  GHSA-f62v-xpxf-3v68  High      8.2% (94th)    6.2
jackson-databind               2.4.0             2.9.10.8          java-archive  GHSA-wh8g-3j2c-rqj5  High      7.7% (93rd)    6.0
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-cmfg-87vq-g5g4  Medium    11.0% (95th)   6.0
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-5949-rw7g-wx7w  High      7.5% (93rd)    5.8
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-qjw2-hr98-qgfh  High      7.3% (93rd)    5.7
jackson-databind               2.4.0             2.7.9.4           java-archive  GHSA-cjjf-94ff-43w7  High      7.3% (93rd)    5.5
jackson-databind               2.4.0             2.7.9.5           java-archive  GHSA-w3f4-3q6j-rh82  High      7.0% (93rd)    5.5
jackson-databind               2.4.0             2.7.9.4           java-archive  GHSA-qr7j-h6gg-jmgc  Critical  5.7% (92nd)    5.4
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-mx7p-6679-8g3q  Critical  5.7% (92nd)    5.4
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-gjmw-vf9h-g25v  Critical  5.4% (91st)    5.1
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-85cw-hj65-qqv9  Critical  5.0% (91st)    4.7
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-fmmc-742q-jg75  Critical  4.9% (91st)    4.6
jackson-databind               2.4.0             2.8.11.5          java-archive  GHSA-f3j5-rmmp-3fc5  Critical  4.6% (90th)    4.4
jackson-databind               2.4.0             2.6.7.3           java-archive  GHSA-cf6r-3wgc-h863  High      5.6% (92nd)    4.2
jackson-databind               2.4.0             2.9.10.8          java-archive  GHSA-8w26-6f25-cm9x  High      5.2% (91st)    4.1
jackson-databind               2.4.0             2.9.10.8          java-archive  GHSA-v585-23hc-c647  High      5.2% (91st)    4.1
jackson-databind               2.4.0             2.9.10.8          java-archive  GHSA-r695-7vr9-jgc2  High      5.2% (91st)    4.1
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-8c4j-34r4-xr8g  High      5.0% (91st)    3.9
hadoop-common                  3.2.2             3.2.3             java-archive  GHSA-gx2c-fvhc-ph4j  Critical  4.2% (89th)    3.9
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-89qr-369f-5m5x  High      5.0% (91st)    3.9
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-cvm9-fjm9-3572  High      5.0% (91st)    3.9
hadoop-common                  3.2.2             3.2.4             java-archive  GHSA-8wm5-8h9c-47pc  Critical  4.1% (89th)    3.9
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-vfqx-33qm-g869  High      4.9% (91st)    3.8
jackson-databind               2.4.0             2.6.7.5           java-archive  GHSA-9m6f-7xcq-8vf8  High      4.9% (91st)    3.8
jackson-databind               2.4.0             2.12.6.1          java-archive  GHSA-57j2-w4cx-62h2  High      4.9% (91st)    3.6
http2-hpack                    9.4.44.v20210927  9.4.53            java-archive  GHSA-wgh7-54f2-x98r  High      3.8% (88th)    2.8
hadoop-common                  3.2.2             3.2.3             java-archive  GHSA-rmpj-7c96-mrg8  Critical  2.9% (85th)    2.7
jackson-databind               2.4.0             2.9.10.4          java-archive  GHSA-rpr3-cw39-3pxh  High      3.3% (87th)    2.6
solr-core                      8.11.2            8.11.3            java-archive  GHSA-3hwc-rqwp-v36q  High      3.3% (87th)    2.5
avatica-core                   1.18.0            1.22.0            java-archive  GHSA-w7f5-jrpr-5c2m  High      3.0% (85th)    2.4
protobuf-java                  3.11.0            3.25.5            java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)    2.2
jackson-databind               2.13.3            2.13.4            java-archive  GHSA-rgv9-q543-rqg4  High      2.8% (84th)    2.1
jackson-databind               2.4.0             2.12.7.1          java-archive  GHSA-rgv9-q543-rqg4  High      2.8% (84th)    2.1
jackson-databind               2.13.3            2.13.4.2          java-archive  GHSA-jjjh-jjxp-wpff  High      2.8% (84th)    2.1
jackson-databind               2.4.0             2.12.7.1          java-archive  GHSA-jjjh-jjxp-wpff  High      2.8% (84th)    2.1
calcite-core                   1.27.0            1.32.0            java-archive  GHSA-fj2m-w3wv-x9pr  Critical  1.9% (77th)    1.8
http2-server                   9.4.44.v20210927  9.4.47            java-archive  GHSA-wgmr-mf83-7x4j  High      2.3% (81st)    1.7
jetty-server                   9.4.44.v20210927  9.4.51.v20230217  java-archive  GHSA-qw69-rqj8-6qw8  Medium    3.3% (87th)    1.7
